date,total_trades,total_pnl,win_trades,loss_trades,avg_leverage,max_leverage,avg_size,unique_symbols,win_rate,profitable_day
2023-01-05,3,0.0,0,3,,,,,0.0,0
2023-05-12,9,0.0,0,9,,,,,0.0,0
2023-12-14,11,-205.43473700000007,4,7,,,,,0.36363636363636365,0
2023-12-15,2,-24.632033999999997,0,2,,,,,0.0,0
2023-12-16,3,0.0,0,3,,,,,0.0,0
2023-12-17,14,304.982785,7,7,,,,,0.5,1
2023-12-18,2,0.0,0,2,,,,,0.0,0
2023-12-19,15,1000.5386120000001,10,5,,,,,0.6666666666666666,1
2023-12-20,18,162.732282,8,10,,,,,0.4444444444444444,1
2023-12-21,49,537.211402,26,23,,,,,0.5306122448979592,1
2023-12-22,10,141.832675,2,8,,,,,0.2,1
2023-12-23,13,146.936704,8,5,,,,,0.6153846153846154,1
2023-12-24,39,1008.619956,15,24,,,,,0.38461538461538464,1
2023-12-25,3,-245.081348,0,3,,,,,0.0,0
2023-12-27,28,-704.8892269999999,4,24,,,,,0.14285714285714285,0
2023-12-28,23,-970.730876,0,23,,,,,0.0,0
2023-12-29,50,508.92214299999995,15,35,,,,,0.3,1
2023-12-30,52,354.998648,23,29,,,,,0.4423076923076923,1
2024-01-01,18,-129.53146,1,17,,,,,0.05555555555555555,0
2024-01-02,6,0.0,0,6,,,,,0.0,0
2024-01-03,137,8244.241409,128,9,,,,,0.9343065693430657,1
2024-01-04,77,2507.963406,42,35,,,,,0.5454545454545454,1
2024-01-05,14,0.0,0,14,,,,,0.0,0
2024-01-06,25,91.510419,9,16,,,,,0.36,1
2024-01-07,64,5065.839308,26,38,,,,,0.40625,1
2024-01-08,57,167.080017,4,53,,,,,0.07017543859649122,1
2024-01-09,12,137.433093,5,7,,,,,0.4166666666666667,1
2024-01-10,4,0.0,0,4,,,,,0.0,0
2024-01-11,23,1040.475736,6,17,,,,,0.2608695652173913,1
2024-01-12,416,40886.364494,221,195,,,,,0.53125,1
2024-01-15,14,152.85358,9,5,,,,,0.6428571428571429,1
2024-01-16,9,-2299.171458,3,6,,,,,0.3333333333333333,0
2024-01-17,53,813.2741110000001,11,42,,,,,0.20754716981132076,1
2024-01-18,46,68.93319,3,43,,,,,0.06521739130434782,1
2024-01-19,48,-385.419235,6,42,,,,,0.125,0
2024-01-20,106,-146.57487000000003,15,91,,,,,0.14150943396226415,0
2024-01-21,11,266.58114600000005,3,8,,,,,0.2727272727272727,1
2024-01-22,85,1375.640959,23,62,,,,,0.27058823529411763,1
2024-01-23,45,-369.2447299999998,11,34,,,,,0.24444444444444444,0
2024-01-24,68,-2808.353815,10,58,,,,,0.14705882352941177,0
2024-01-25,6,-3093.6293849999997,0,6,,,,,0.0,0
2024-01-26,5,90.2,1,4,,,,,0.2,1
2024-01-28,11,-2478.06972,0,11,,,,,0.0,0
2024-01-29,74,486.562542,45,29,,,,,0.6081081081081081,1
2024-01-30,49,-173.65419100000003,5,44,,,,,0.10204081632653061,0
2024-01-31,859,-799.840817,231,628,,,,,0.2689173457508731,0
2024-02-01,17,783.979116,8,9,,,,,0.47058823529411764,1
2024-02-02,42,456.423473,13,29,,,,,0.30952380952380953,1
2024-02-03,31,230.90060000000005,21,10,,,,,0.6774193548387096,1
2024-02-04,41,883.760812,12,29,,,,,0.2926829268292683,1
2024-02-06,93,192.906947,34,59,,,,,0.3655913978494624,1
2024-02-07,18,2421.253116,13,5,,,,,0.7222222222222222,1
2024-02-08,63,782.3681909999999,17,46,,,,,0.2698412698412698,1
2024-02-09,2,0.0,0,2,,,,,0.0,0
2024-02-10,4,0.0,0,4,,,,,0.0,0
2024-02-11,2,0.0,0,2,,,,,0.0,0
2024-02-12,270,18489.604313,110,160,,,,,0.4074074074074074,1
2024-02-13,14,559.44389,14,0,,,,,1.0,1
2024-02-14,111,3830.599833,83,28,,,,,0.7477477477477478,1
2024-02-15,63,1840.797677,57,6,,,,,0.9047619047619048,1
2024-02-16,182,5491.768834,146,36,,,,,0.8021978021978022,1
2024-02-17,94,1929.6418,61,33,,,,,0.648936170212766,1
2024-02-18,97,477.6248299999999,61,36,,,,,0.6288659793814433,1
2024-02-19,101,4317.768563,77,24,,,,,0.7623762376237624,1
2024-02-20,39,3263.628824,31,8,,,,,0.7948717948717948,1
2024-02-21,22,1858.7985700000002,15,7,,,,,0.6818181818181818,1
2024-02-22,88,3894.1050699999996,40,48,,,,,0.45454545454545453,1
2024-02-23,143,1418.55293,137,6,,,,,0.958041958041958,1
2024-02-25,5,-30.7705,0,5,,,,,0.0,0
2024-02-26,39,4416.8473,34,5,,,,,0.8717948717948718,1
2024-02-27,63,888.511733,26,37,,,,,0.4126984126984127,1
2024-02-28,45,2503.747235,39,6,,,,,0.8666666666666667,1
2024-02-29,116,9813.996992,100,16,,,,,0.8620689655172413,1
2024-03-01,67,866.015507,28,39,,,,,0.417910447761194,1
2024-03-02,56,223.30918699999998,6,50,,,,,0.10714285714285714,1
2024-03-03,79,8361.086245,54,25,,,,,0.6835443037974683,1
2024-03-04,4,126.7884,1,3,,,,,0.25,1
2024-03-05,36,5306.017045,17,19,,,,,0.4722222222222222,1
